"first_seen","company","role","url","source","tier","status","notes"
"2026-08-17","Autodesk","Senior Frontend Developer (3D)","https://autodesk.wd1.myworkdayjobs.com/en-US/Ext/job/Senior-Frontend-Developer--3D-_26WD97294","seg1 seg3","1","new","OK STALE; UK or Toronto Canada, hybrid or remote; posted Apr 2026, expires 2026-09-27; seg1 token UNVERIFIED retired because seg3 fetched Autodesk's own Workday board directly; deduped against Binghamton career-services mirror URL, employer ATS kept; React + Three.js + WebGL/WebGPU + WebXR; gap is WebGPU and react-three-fiber; level right"
"2026-08-17","Kake","Senior Web & Video Player Engineer","https://www.linkedin.com/jobs/view/4448412899/","li2t","1","new","OK; Toronto ON remote; posted ~Aug 10; no comp shown; title as posted ends '- Remote', stripped for the dedupe key; description never read - confirm browser-side vs native player before applying; card also appeared in li3t coverage prose but was not captured there; company is also advertising a Senior iOS Video Player Engineer, uncaptured, worth finding; level right"
"2026-08-17","Autodesk","Principal Software Developer, Viewer Platform","https://builtintoronto.com/job/principal-software-developer/9664537","seg3","1","new","OK; Toronto Ontario CAN, in-office or remote; posted ~Aug 10; CAD 131,000-191,400; only Tier 1 role with a stated Canadian band; preferred quals name 2D/3D visualization systems and rendering engines; URL is Built In, prefer Autodesk Workday if the same req can be found there; level over - req wants 8+ yrs platform scale and cross-team technical leadership"
"2026-08-17","Waabi","Senior / Staff Software Engineer, Web Tools","https://builtintoronto.com/job/senior-staff-software-engineer-web-tools/7412583","seg3","1","new","OK; hiring remotely in Toronto ON CAN, remote or hybrid; posted ~Jul 27; USD 141,000-249,000, Canada range not shown; bonus quals name 3D visualization (WebGL), real-time interactive systems and three.js; core req is full-stack with Go/Python/Rust behind React/TS; level right at senior, reach at staff"
"2026-08-17","Ecopia AI","Frontend Engineer","https://ecopiatech.bamboohr.com/careers/117","seg1","1","new","OK STALE; Toronto hybrid, 1 day a week in-office; posted May 1 2026, confirmed still live on employer's own BambooHR board; CAD 100,000-150,000; massive real-time data visualization engine on WebGL and Unity3D for geospatial mapping; no Unity on resume; backend half is Node.js, REST, SQL/NoSQL, microservices; level under - flat title and band top out below 21 years"
"2026-08-17","Vimeo","Sr. Software Engineer, Customer Solutions Video Pro","https://job-boards.greenhouse.io/vimeo/jobs/6277940","seg2","2","new","RELOCATE United States, no city named, US; posting says Remote-US and quotes bands only for NYC Metro, Bay Area, Seattle, LA and other US cities; no Canadian eligibility stated and nothing said either way about sponsorship or cross-border hiring; undated; USD 127,800-196,000 NYC metro band; owns full stack from APIs to frontend UI for a video tools team; level right"
"2026-08-17","1Password","Senior Developer, Frontend","https://builtin.com/job/senior-developer-frontend/7287673","seg3","2","new","OK; remote within Canada and the US; posted ~Aug 6; 143,000-210,000, currency not specified on the posting; billing and payments feature work with no rendering, canvas or real-time dimension; named target company; level right"
"2026-08-17","SoftServe","XR Architect","https://www.linkedin.com/jobs/view/4453097101","li1r","2","new","OK; Canada; posted ~Aug 12; no comp shown; WebXR/Quest/Poly Award history is the hiring signal, but confirm whether the stack is Unity/C# enterprise XR or WebXR before writing anything; level right"
"2026-08-17","Loblaw Digital","Staff iOS Developer","https://careers.loblaw.ca/staff-ios-developer/job/PAF-LCL-8B15AC9D-AFBC-488B-9B1E-C634D4FAC824_7580_1755723543_0","seg4","2","new","OK; from our office in Downtown Toronto; undated; comp not stated; 8+ yrs Swift/UIKit architecture leadership matches a decade of Objective-C-to-Swift iOS and tvOS work; gap is hands-on BFF and API contract design - GraphQL, caching, service orchestration; no media or graphics dimension; level right"
"2026-08-17","Robots & Pencils","Staff Mobile Engineer","https://job-boards.greenhouse.io/robotsandpencils/jobs/5372929008","seg4","2","new","OK; this position can be located remotely in Canada; undated; comp not stated; staff-level iOS/Swift/SwiftUI architecture at a client-services consultancy; req wants expert Android/Kotlin as a co-equal and resume shows no Android; held rather than skipped per seg4's read that bundled mobile reqs often skew iOS-heavy in practice; level right"
