"first_seen","status","company","role","source","tier","notes","url"
"2026-08-17","new","Autodesk","Senior Frontend Developer (3D)","seg1 seg3","1","OK STALE; UK or Toronto Canada, hybrid or remote; posted Apr 2026, expires 2026-09-27; seg1 token UNVERIFIED retired because seg3 fetched Autodesk's own Workday board directly; deduped against Binghamton career-services mirror URL, employer ATS kept; React + Three.js + WebGL/WebGPU + WebXR; gap is WebGPU and react-three-fiber; level right","https://autodesk.wd1.myworkdayjobs.com/en-US/Ext/job/Senior-Frontend-Developer--3D-_26WD97294"
"2026-08-17","new","Kake","Senior Web & Video Player Engineer","li2t","1","OK; Toronto ON remote; posted ~Aug 10; no comp shown; title as posted ends '- Remote', stripped for the dedupe key; description never read - confirm browser-side vs native player before applying; card also appeared in li3t coverage prose but was not captured there; company is also advertising a Senior iOS Video Player Engineer, uncaptured, worth finding; level right","https://www.linkedin.com/jobs/view/4448412899/"
"2026-08-17","new","Autodesk","Principal Software Developer, Viewer Platform","seg3","1","OK; Toronto Ontario CAN, in-office or remote; posted ~Aug 10; CAD 131,000-191,400; only Tier 1 role with a stated Canadian band; preferred quals name 2D/3D visualization systems and rendering engines; URL is Built In, prefer Autodesk Workday if the same req can be found there; level over - req wants 8+ yrs platform scale and cross-team technical leadership","https://builtintoronto.com/job/principal-software-developer/9664537"
"2026-08-17","new","Waabi","Senior / Staff Software Engineer, Web Tools","seg3","1","OK; hiring remotely in Toronto ON CAN, remote or hybrid; posted ~Jul 27; USD 141,000-249,000, Canada range not shown; bonus quals name 3D visualization (WebGL), real-time interactive systems and three.js; core req is full-stack with Go/Python/Rust behind React/TS; level right at senior, reach at staff","https://builtintoronto.com/job/senior-staff-software-engineer-web-tools/7412583"
"2026-08-17","new","Ecopia AI","Frontend Engineer","seg1","1","OK STALE; Toronto hybrid, 1 day a week in-office; posted May 1 2026, confirmed still live on employer's own BambooHR board; CAD 100,000-150,000; massive real-time data visualization engine on WebGL and Unity3D for geospatial mapping; no Unity on resume; backend half is Node.js, REST, SQL/NoSQL, microservices; level under - flat title and band top out below 21 years","https://ecopiatech.bamboohr.com/careers/117"
"2026-08-17","new","Vimeo","Sr. Software Engineer, Customer Solutions Video Pro","seg2","2","RELOCATE United States, no city named, US; posting says Remote-US and quotes bands only for NYC Metro, Bay Area, Seattle, LA and other US cities; no Canadian eligibility stated and nothing said either way about sponsorship or cross-border hiring; undated; USD 127,800-196,000 NYC metro band; owns full stack from APIs to frontend UI for a video tools team; level right","https://job-boards.greenhouse.io/vimeo/jobs/6277940"
"2026-08-17","new","1Password","Senior Developer, Frontend","seg3","2","OK; remote within Canada and the US; posted ~Aug 6; 143,000-210,000, currency not specified on the posting; billing and payments feature work with no rendering, canvas or real-time dimension; named target company; level right","https://builtin.com/job/senior-developer-frontend/7287673"
"2026-08-17","new","SoftServe","XR Architect","li1r","2","OK; Canada; posted ~Aug 12; no comp shown; WebXR/Quest/Poly Award history is the hiring signal, but confirm whether the stack is Unity/C# enterprise XR or WebXR before writing anything; level right","https://www.linkedin.com/jobs/view/4453097101"
"2026-08-17","new","Loblaw Digital","Staff iOS Developer","seg4","2","OK; from our office in Downtown Toronto; undated; comp not stated; 8+ yrs Swift/UIKit architecture leadership matches a decade of Objective-C-to-Swift iOS and tvOS work; gap is hands-on BFF and API contract design - GraphQL, caching, service orchestration; no media or graphics dimension; level right","https://careers.loblaw.ca/staff-ios-developer/job/PAF-LCL-8B15AC9D-AFBC-488B-9B1E-C634D4FAC824_7580_1755723543_0"
"2026-08-17","new","Robots & Pencils","Staff Mobile Engineer","seg4","2","OK; this position can be located remotely in Canada; undated; comp not stated; staff-level iOS/Swift/SwiftUI architecture at a client-services consultancy; req wants expert Android/Kotlin as a co-equal and resume shows no Android; held rather than skipped per seg4's read that bundled mobile reqs often skew iOS-heavy in practice; level right","https://job-boards.greenhouse.io/robotsandpencils/jobs/5372929008"
"2026-08-17","new","Waabi","Senior / Staff Graphics Software Engineer, Sensor Simulation","seg1","2","OK; Toronto ON / San Francisco CA / remote US and Canada, hybrid; undated; USD 155,000-269,000 US range, Canada range not separately given; real-time plus neural rendering and Gaussian splatting for AV sensor simulation; hard gate is 3+ yrs shipping real-time rendering against a native GPU API in C++ or Rust; use the Web Tools req as the Waabi door instead; distinct role from Research Engineer Neural Rendering despite the similar Built In slug; level over","https://jobs.lever.co/waabi/562aa158-f9c9-4ca4-bfaa-50a62d7e498c"
"2026-08-17","new","Lightspeed Commerce","Senior Software Developer (Node/React/iOS)","seg4","2","OK; you should be located in Canada, fully remote partially remote or fully office-based; undated; comp not stated; native iOS half (Objective-C/Swift/Xcode) and React half both match; screening filter is 6+ yrs Node.js/Java backend plus Kubernetes and Docker, failed on its face; long shot; level right","https://job-boards.greenhouse.io/lightspeedhq/jobs/7230067"
"2026-08-17","skipped","Waabi","Research Engineer, Neural Rendering","seg3","3","OK; Toronto ON CAN, remote or hybrid; posted ~Aug 14; CAD 171,000-270,000; multi-sensor rendering mixing real-time rendering with NeRF and 3D Gaussian Splatting, but requires deep ML research background - PyTorch, diffusion models, NeRF internals - plus native C++/Rust; ML research depth absent entirely; distinct role from Sensor Simulation despite the slug","https://builtintoronto.com/job/research-engineer-sensor-simulation/7518596"
"2026-08-17","skipped","Figma","Software Engineer, Graphics & Media","seg3","3","RELOCATE US hubs or US-remote, no city named, US; requires US work authorization or residency, no non-US eligibility or sponsorship stated; posted ~Aug 12; USD 153,000-376,000; video/image rendering and playback in a C++/WebAssembly engine is a near-direct domain match but resume lists C not C++; best-paid near-match in the pass and it dies on two hard gates at once","https://builtin.com/job/software-engineer-rendering-animation/6345576"
"2026-08-17","skipped","Mux","Software Engineer - Distributed Systems (Mid-Staff Level)","seg2","3","RELOCATE San Francisco CA US; or US Remote, no Canadian eligibility stated; undated; USD 188,000-240,000; video transcoding and encoding pipeline domain matches but the bar is 4+ yrs production Golang/C/C++ distributed systems","https://job-boards.greenhouse.io/mux/jobs/7431906002"
